id,word,word_id,sentence,kr,tokens
1,一,1,リンゴを一つください。,사과 하나 주세요.,"[{""surface"": ""リンゴ"", ""hasKanji"": false}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""一"", ""kanji"": ""一"", ""furigana"": ""ひと"", ""hasKanji"": true}, {""surface"": ""つ"", ""hasKanji"": false}, {""surface"": ""ください"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
2,一,1,今日は一月一日です。,오늘은 1월 1일입니다.,"[{""surface"": ""今日"", ""kanji"": ""今日"", ""furigana"": ""きょう"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""一"", ""kanji"": ""一"", ""furigana"": ""いち"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""一日"", ""kanji"": ""一日"", ""furigana"": ""ついたち"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
3,二,2,弟は二歳です。,남동생은 두 살입니다.,"[{""surface"": ""弟"", ""kanji"": ""弟"", ""furigana"": ""おとうと"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""二"", ""kanji"": ""二"", ""furigana"": ""に"", ""hasKanji"": true}, {""surface"": ""歳"", ""kanji"": ""歳"", ""furigana"": ""さい"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
4,二,2,ケーキを二つ買いました。,케이크를 두 개 샀습니다.,"[{""surface"": ""ケーキ"", ""hasKanji"": false}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""二"", ""kanji"": ""二"", ""furigana"": ""ふた"", ""hasKanji"": true}, {""surface"": ""つ"", ""hasKanji"": false}, {""surface"": ""買い"", ""kanji"": ""買"", ""furigana"": ""か"", ""hasKanji"": true}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
5,三,3,バスは三分後に来ます。,버스는 3분 후에 옵니다.,"[{""surface"": ""バス"", ""hasKanji"": false}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""三"", ""kanji"": ""三"", ""furigana"": ""さん"", ""hasKanji"": true}, {""surface"": ""分"", ""kanji"": ""分"", ""furigana"": ""ふん"", ""hasKanji"": true}, {""surface"": ""後"", ""kanji"": ""後"", ""furigana"": ""ご"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""来"", ""kanji"": ""来"", ""furigana"": ""き"", ""hasKanji"": true}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
6,三,3,三月は春が始まる季節です。,3월은 봄이 시작되는 계절입니다.,"[{""surface"": ""三"", ""kanji"": ""三"", ""furigana"": ""さん"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""春"", ""kanji"": ""春"", ""furigana"": ""はる"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""始まる"", ""kanji"": ""始"", ""furigana"": ""はじ"", ""hasKanji"": true}, {""surface"": ""季節"", ""kanji"": ""季節"", ""furigana"": ""きせつ"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
7,四,4,四人家族です。,네 명 가족입니다.,"[{""surface"": ""四"", ""kanji"": ""四"", ""furigana"": ""よん"", ""hasKanji"": true}, {""surface"": ""人"", ""kanji"": ""人"", ""furigana"": ""にん"", ""hasKanji"": true}, {""surface"": ""家族"", ""kanji"": ""家族"", ""furigana"": ""かぞく"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
8,四,4,四月には桜が咲きます。,4월에는 벚꽃이 핍니다.,"[{""surface"": ""四"", ""kanji"": ""四"", ""furigana"": ""よん"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""桜"", ""kanji"": ""桜"", ""furigana"": ""さくら"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""咲き"", ""kanji"": ""咲"", ""furigana"": ""さ"", ""hasKanji"": true}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
9,五,5,本を五冊読みました。,책을 다섯 권 읽었습니다.,"[{""surface"": ""本"", ""kanji"": ""本"", ""furigana"": ""ほん"", ""hasKanji"": true}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""五"", ""kanji"": ""五"", ""furigana"": ""ご"", ""hasKanji"": true}, {""surface"": ""冊"", ""kanji"": ""冊"", ""furigana"": ""さつ"", ""hasKanji"": true}, {""surface"": ""読み"", ""kanji"": ""読"", ""furigana"": ""よ"", ""hasKanji"": true}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
10,五,5,五時に待ち合わせましょう。,다섯 시에 만나기로 합시다.,"[{""surface"": ""五"", ""kanji"": ""五"", ""furigana"": ""ご"", ""hasKanji"": true}, {""surface"": ""時"", ""kanji"": ""時"", ""furigana"": ""じ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""待ち合わせ"", ""kanji"": ""待合"", ""furigana"": ""まちあわせ"", ""hasKanji"": true}, {""surface"": ""ましょう"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
11,六,6,サイコロの目が六でした。,주사위의 숫자가 6이 나왔습니다.,"[{""surface"": ""サイコロ"", ""hasKanji"": false}, {""surface"": ""の"", ""hasKanji"": false}, {""surface"": ""目"", ""kanji"": ""目"", ""furigana"": ""め"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""六"", ""kanji"": ""六"", ""furigana"": ""ろく"", ""hasKanji"": true}, {""surface"": ""でし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
12,六,6,彼女の誕生日は六月です。,그녀의 생일은 6월입니다.,"[{""surface"": ""彼女"", ""kanji"": ""彼女"", ""furigana"": ""かのじょ"", ""hasKanji"": true}, {""surface"": ""の"", ""hasKanji"": false}, {""surface"": ""誕生"", ""kanji"": ""誕生"", ""furigana"": ""たんじょう"", ""hasKanji"": true}, {""surface"": ""日"", ""kanji"": ""日"", ""furigana"": ""ひ"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""六"", ""kanji"": ""六"", ""furigana"": ""ろく"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
13,七,7,七色の虹が空にかかっています。,일곱 색깔 무지개가 하늘에 떠 있습니다.,"[{""surface"": ""七色"", ""kanji"": ""七色"", ""furigana"": ""なないろ"", ""hasKanji"": true}, {""surface"": ""の"", ""hasKanji"": false}, {""surface"": ""虹"", ""kanji"": ""虹"", ""furigana"": ""にじ"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""空"", ""kanji"": ""空"", ""furigana"": ""そら"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""かかっ"", ""hasKanji"": false}, {""surface"": ""て"", ""hasKanji"": false}, {""surface"": ""い"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
14,七,7,今晩七時に映画が始まります。,오늘 저녁 7시에 영화가 시작됩니다.,"[{""surface"": ""今晩"", ""kanji"": ""今晩"", ""furigana"": ""こんばん"", ""hasKanji"": true}, {""surface"": ""七"", ""kanji"": ""七"", ""furigana"": ""しち"", ""hasKanji"": true}, {""surface"": ""時"", ""kanji"": ""時"", ""furigana"": ""じ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""映画"", ""kanji"": ""映画"", ""furigana"": ""えいが"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""始まり"", ""kanji"": ""始"", ""furigana"": ""はじ"", ""hasKanji"": true}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
15,八,8,八月は暑い季節です。,8월은 더운 계절입니다.,"[{""surface"": ""八"", ""kanji"": ""八"", ""furigana"": ""はち"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""暑い"", ""kanji"": ""暑"", ""furigana"": ""あつ"", ""hasKanji"": true}, {""surface"": ""季節"", ""kanji"": ""季節"", ""furigana"": ""きせつ"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
16,八,8,八つのお菓子があります。,여덟 개의 과자가 있습니다.,"[{""surface"": ""八"", ""kanji"": ""八"", ""furigana"": ""よう"", ""hasKanji"": true}, {""surface"": ""つ"", ""hasKanji"": false}, {""surface"": ""の"", ""hasKanji"": false}, {""surface"": ""お"", ""hasKanji"": false}, {""surface"": ""菓子"", ""kanji"": ""菓子"", ""furigana"": ""かし"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""あり"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
17,九,9,猫には九つの命があると言われます。,고양이는 목숨이 아홉 개 있다고 합니다.,"[{""surface"": ""猫"", ""kanji"": ""猫"", ""furigana"": ""ねこ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""九"", ""kanji"": ""九"", ""furigana"": ""ここの"", ""hasKanji"": true}, {""surface"": ""つ"", ""hasKanji"": false}, {""surface"": ""の"", ""hasKanji"": false}, {""surface"": ""命"", ""kanji"": ""命"", ""furigana"": ""いのち"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""ある"", ""hasKanji"": false}, {""surface"": ""と"", ""hasKanji"": false}, {""surface"": ""言わ"", ""kanji"": ""言"", ""furigana"": ""い"", ""hasKanji"": true}, {""surface"": ""れ"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
18,九,9,九月に旅行する予定です。,9월에 여행할 예정입니다.,"[{""surface"": ""九"", ""kanji"": ""九"", ""furigana"": ""きゅう"", ""hasKanji"": true}, {""surface"": ""月"", ""kanji"": ""月"", ""furigana"": ""がつ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""旅行"", ""kanji"": ""旅行"", ""furigana"": ""りょこう"", ""hasKanji"": true}, {""surface"": ""する"", ""hasKanji"": false}, {""surface"": ""予定"", ""kanji"": ""予定"", ""furigana"": ""よてい"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
19,十,10,彼は十歳になりました。,그는 열 살이 되었습니다.,"[{""surface"": ""彼"", ""kanji"": ""彼"", ""furigana"": ""かれ"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""十"", ""kanji"": ""十"", ""furigana"": ""じゅう"", ""hasKanji"": true}, {""surface"": ""歳"", ""kanji"": ""歳"", ""furigana"": ""さい"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""なり"", ""hasKanji"": false}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
20,十,10,問題が十問あります。,문제가 열 개 있습니다.,"[{""surface"": ""問題"", ""kanji"": ""問題"", ""furigana"": ""もんだい"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""十"", ""kanji"": ""十"", ""furigana"": ""じゅう"", ""hasKanji"": true}, {""surface"": ""問"", ""kanji"": ""問"", ""furigana"": ""もん"", ""hasKanji"": true}, {""surface"": ""あり"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
21,百,11,この本は百円です。,이 책은 100엔입니다.,"[{""surface"": ""この"", ""hasKanji"": false}, {""surface"": ""本"", ""kanji"": ""本"", ""furigana"": ""ほん"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""百"", ""kanji"": ""百"", ""furigana"": ""ひゃく"", ""hasKanji"": true}, {""surface"": ""円"", ""kanji"": ""円"", ""furigana"": ""えん"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
22,百,11,百メートル走で優勝しました。,100미터 달리기에서 우승했습니다.,"[{""surface"": ""百"", ""kanji"": ""百"", ""furigana"": ""ひゃく"", ""hasKanji"": true}, {""surface"": ""メートル"", ""hasKanji"": false}, {""surface"": ""走"", ""kanji"": ""走"", ""furigana"": ""そう"", ""hasKanji"": true}, {""surface"": ""で"", ""hasKanji"": false}, {""surface"": ""優勝"", ""kanji"": ""優勝"", ""furigana"": ""ゆうしょう"", ""hasKanji"": true}, {""surface"": ""し"", ""hasKanji"": false}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
23,千,12,その町には千人が住んでいます。,그 마을에는 천 명이 살고 있습니다.,"[{""surface"": ""その"", ""hasKanji"": false}, {""surface"": ""町"", ""kanji"": ""町"", ""furigana"": ""まち"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""千"", ""kanji"": ""千"", ""furigana"": ""せん"", ""hasKanji"": true}, {""surface"": ""人"", ""kanji"": ""人"", ""furigana"": ""にん"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""住ん"", ""kanji"": ""住"", ""furigana"": ""す"", ""hasKanji"": true}, {""surface"": ""で"", ""hasKanji"": false}, {""surface"": ""い"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
24,千,12,千円札を一枚ください。,천 엔짜리 지폐를 한 장 주세요.,"[{""surface"": ""千"", ""kanji"": ""千"", ""furigana"": ""せん"", ""hasKanji"": true}, {""surface"": ""円"", ""kanji"": ""円"", ""furigana"": ""えん"", ""hasKanji"": true}, {""surface"": ""札"", ""kanji"": ""札"", ""furigana"": ""さつ"", ""hasKanji"": true}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""一"", ""kanji"": ""一"", ""furigana"": ""いち"", ""hasKanji"": true}, {""surface"": ""枚"", ""kanji"": ""枚"", ""furigana"": ""まい"", ""hasKanji"": true}, {""surface"": ""ください"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
25,万,13,彼は一万円を持っています。,그는 만 엔을 가지고 있습니다.,"[{""surface"": ""彼"", ""kanji"": ""彼"", ""furigana"": ""かれ"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""一"", ""kanji"": ""一"", ""furigana"": ""いち"", ""hasKanji"": true}, {""surface"": ""万"", ""kanji"": ""万"", ""furigana"": ""まん"", ""hasKanji"": true}, {""surface"": ""円"", ""kanji"": ""円"", ""furigana"": ""えん"", ""hasKanji"": true}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""持っ"", ""kanji"": ""持"", ""furigana"": ""も"", ""hasKanji"": true}, {""surface"": ""て"", ""hasKanji"": false}, {""surface"": ""い"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
26,万,13,その祭りには万人が集まりました。,그 축제에는 만 명이 모였습니다.,"[{""surface"": ""その"", ""hasKanji"": false}, {""surface"": ""祭り"", ""kanji"": ""祭"", ""furigana"": ""まつ"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""万人"", ""kanji"": ""万人"", ""furigana"": ""ばんにん"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""集まり"", ""kanji"": ""集"", ""furigana"": ""あつ"", ""hasKanji"": true}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
27,以上,14,二十歳以上の方は参加できます。,스무 살 이상인 분은 참가할 수 있습니다.,"[{""surface"": ""二十"", ""kanji"": ""二十"", ""furigana"": ""にじゅう"", ""hasKanji"": true}, {""surface"": ""歳"", ""kanji"": ""歳"", ""furigana"": ""さい"", ""hasKanji"": true}, {""surface"": ""以上"", ""kanji"": ""以上"", ""furigana"": ""いじょう"", ""hasKanji"": true}, {""surface"": ""の"", ""hasKanji"": false}, {""surface"": ""方"", ""kanji"": ""方"", ""furigana"": ""ほう"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""参加"", ""kanji"": ""参加"", ""furigana"": ""さんか"", ""hasKanji"": true}, {""surface"": ""でき"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
28,以上,14,それ以上は食べられません。,그 이상은 먹을 수 없습니다.,"[{""surface"": ""それ"", ""hasKanji"": false}, {""surface"": ""以上"", ""kanji"": ""以上"", ""furigana"": ""いじょう"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""食べ"", ""kanji"": ""食"", ""furigana"": ""た"", ""hasKanji"": true}, {""surface"": ""られ"", ""hasKanji"": false}, {""surface"": ""ませ"", ""hasKanji"": false}, {""surface"": ""ん"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
29,以下,15,十歳以下は無料です。,열 살 이하는 무료입니다.,"[{""surface"": ""十"", ""kanji"": ""十"", ""furigana"": ""じゅう"", ""hasKanji"": true}, {""surface"": ""歳"", ""kanji"": ""歳"", ""furigana"": ""さい"", ""hasKanji"": true}, {""surface"": ""以下"", ""kanji"": ""以下"", ""furigana"": ""いか"", ""hasKanji"": true}, {""surface"": ""は"", ""hasKanji"": false}, {""surface"": ""無料"", ""kanji"": ""無料"", ""furigana"": ""むりょう"", ""hasKanji"": true}, {""surface"": ""です"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
30,以下,15,気温が零度以下に下がりました。,기온이 0도 이하로 내려갔습니다.,"[{""surface"": ""気温"", ""kanji"": ""気温"", ""furigana"": ""きおん"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""零"", ""kanji"": ""零"", ""furigana"": ""れい"", ""hasKanji"": true}, {""surface"": ""度"", ""kanji"": ""度"", ""furigana"": ""ど"", ""hasKanji"": true}, {""surface"": ""以下"", ""kanji"": ""以下"", ""furigana"": ""いか"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""下がり"", ""kanji"": ""下"", ""furigana"": ""さ"", ""hasKanji"": true}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
31,数,16,星の数が多すぎて数えられません。,별의 수가 너무 많아서 셀 수 없습니다.,"[{""surface"": ""星"", ""kanji"": ""星"", ""furigana"": ""ほし"", ""hasKanji"": true}, {""surface"": ""の"", ""hasKanji"": false}, {""surface"": ""数"", ""kanji"": ""数"", ""furigana"": ""かず"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""多"", ""kanji"": ""多"", ""furigana"": ""おお"", ""hasKanji"": true}, {""surface"": ""すぎ"", ""hasKanji"": false}, {""surface"": ""て"", ""hasKanji"": false}, {""surface"": ""数え"", ""kanji"": ""数"", ""furigana"": ""かぞ"", ""hasKanji"": true}, {""surface"": ""られ"", ""hasKanji"": false}, {""surface"": ""ませ"", ""hasKanji"": false}, {""surface"": ""ん"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
32,数,16,数日間旅行に行きます。,며칠간 여행을 갑니다.,"[{""surface"": ""数"", ""kanji"": ""数"", ""furigana"": ""すう"", ""hasKanji"": true}, {""surface"": ""日間"", ""kanji"": ""日間"", ""furigana"": ""にちかん"", ""hasKanji"": true}, {""surface"": ""旅行"", ""kanji"": ""旅行"", ""furigana"": ""りょこう"", ""hasKanji"": true}, {""surface"": ""に"", ""hasKanji"": false}, {""surface"": ""行き"", ""kanji"": ""行"", ""furigana"": ""い"", ""hasKanji"": true}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
33,数える,17,子どもが指で数えています。,아이가 손가락으로 세고 있습니다.,"[{""surface"": ""子ども"", ""kanji"": ""子"", ""furigana"": ""こ"", ""hasKanji"": true}, {""surface"": ""が"", ""hasKanji"": false}, {""surface"": ""指"", ""kanji"": ""指"", ""furigana"": ""ゆび"", ""hasKanji"": true}, {""surface"": ""で"", ""hasKanji"": false}, {""surface"": ""数え"", ""kanji"": ""数"", ""furigana"": ""かぞ"", ""hasKanji"": true}, {""surface"": ""て"", ""hasKanji"": false}, {""surface"": ""い"", ""hasKanji"": false}, {""surface"": ""ます"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
34,数える,17,参加人数を数えました。,참가 인원을 셌습니다.,"[{""surface"": ""参加"", ""kanji"": ""参加"", ""furigana"": ""さんか"", ""hasKanji"": true}, {""surface"": ""人数"", ""kanji"": ""人数"", ""furigana"": ""にんずう"", ""hasKanji"": true}, {""surface"": ""を"", ""hasKanji"": false}, {""surface"": ""数え"", ""kanji"": ""数"", ""furigana"": ""かぞ"", ""hasKanji"": true}, {""surface"": ""まし"", ""hasKanji"": false}, {""surface"": ""た"", ""hasKanji"": false}, {""surface"": ""。"", ""hasKanji"": false}]"
